,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
441,"Cool videos, I subbed :).",Ugxvi33PZ6oQ3s8G11t4AaABAg,http://www.youtube.com/channel/UC69dahQsEtUWRhlQhRSvWqw,Michael,6,0,2020-09-02 16:00:20+00:00,rd1HKwJT6GM,6,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-09-02
442,"Awesome video and interesting insights
I will be joining a University for masters in data science in spring 21  thank you so much this helps alot",UgzGidmlPa44dltktEt4AaABAg,http://www.youtube.com/channel/UC6LvtZ5R12QFX-jyB0pk7OA,Chinmay Gondhalekar,5,0,2020-09-02 15:15:32+00:00,2goqyY5XBeI,5,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-09-02
443,Definitely a helpful resource! This would've been a great video when I was applying.,UgwkYOOkwkPaja_VfUF4AaABAg,http://www.youtube.com/channel/UCjk3q6_JrHveu8SyT1legmg,Cedric Vicera,1,0,2020-09-01 14:26:33+00:00,rd1HKwJT6GM,1,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-09-01
444,Shout out to Arvind! Upvote!,Ugwe3WpF9ZVbJJv-p7V4AaABAg,http://www.youtube.com/channel/UC88d4Z87vslEsn5MCNhIZDw,Kunyang Zhang,1,0,2020-09-01 04:00:38+00:00,rd1HKwJT6GM,1,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-09-01
445,UPVOTE,Ugyb543xgdbKuv-s_mZ4AaABAg,http://www.youtube.com/channel/UCApwZpQR3B1PeaY5-iVOz8g,Joseph Liu,1,0,2020-08-31 20:05:45+00:00,rd1HKwJT6GM,1,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-08-31
446,yessss these are really great tips 💕loved all the camera angles haha,UgyCno8cQXHt_2bEScZ4AaABAg,http://www.youtube.com/channel/UCTFzsGfQIAcfJ-5v1PcJISw,Shalini K,1,0,2020-08-31 03:11:23+00:00,kO_LUVkKdJM,1,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-31
447,thanks for this great video Tina haha ❤️,UgyIwr0YDsKM0GWtfyZ4AaABAg,http://www.youtube.com/channel/UCedWkNjAd6sXD1FyaKIYUlg,Louise Yi,1,0,2020-08-31 02:10:53+00:00,rd1HKwJT6GM,1,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-08-31
448,@48:35 Cracking up. 😂,UgxaDH8mlIJM0juFUxx4AaABAg,http://www.youtube.com/channel/UCNVthpHTt-ioodarjWBZPFg,David Yastremsky,1,0,2020-08-31 01:00:24+00:00,rd1HKwJT6GM,1,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-08-31
449,"Arvind's post about MCIT Online vs. On Campus: 

These are not in any order of importance. I talked about the personal connection aspect first simply because that to me is the most significant one.

Number of electives - Whatever happens, I'll be extremely shocked if the number of electives in the online space becomes equal to the number of electives on campus. We, the faculty, get hired, to produce the on campus courses.

Variety of electives - As most of you know, you are allowed to take 1 approved non-CIS elective. This is a pretty popular option. No chance of doing this if you do the online version.

Research - Completely unclear to me how an online student gets to do research with faculty. Past cohorts (including the one that just graduated) have had at least one if not more students who have managed to work with our faculty on research projects. Some of them have gone on to do PhDs. No research --> very low chance of a PhD.

Going on to a dual degree with CIS, CGGT, Robo - Fairly sure that these are opportunities that only on-campus students have.

Mental health resources - CAPS is not something that online students have access to. I'm also not sure the students have access to the Weingarten learning center either.

Immigration - Online students cannot get an F-1 visa.

Recitations - Recitations in the online world do not have even 1/10th of the discussion and asking TAs questions that the on-campus world does. For certain topics, we feel that students explaining their thoughts to other students or talking to TAs makes a world of difference.

Who's teaching you - I'm putting this one last because I kinda feel awkward saying ""my team is the best"" (unless I'm at the Linc!). If you take a look at the last 7-8 years of MCIT on-campus teaching and the last 2 years or so of MCIT online teaching you will find that the MCIT core classes have always been taught by teaching track faculty. This is not the case with MCIT online. Teaching track faculty are instructors whose primary job description is teaching, and not research. Our tenure track/tenured faculty has many amazing teachers. But I'd like to think that being taught by teaching track faculty as opposed to tenure track/tenured faculty in that important and formative first year can make a difference.",Ugz-kcxlCdNc65g32jd4AaABAg,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,3,2,2020-08-30 23:09:08+00:00,rd1HKwJT6GM,3,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-08-30
450,"Timestamps: 
00:00 Intro - Arvind 
01:14 MCIT program overview 
04:20 What makes a good MCIT candidate
09:30 Culture
11:47 Online vs on-campus + how to choose 
21:19 Internships and jobs
37:28 COVID-19 impact 
38:30 Future of employment
43:32 What not to write on your personal statement
44:30 Application tips 
47:10 Lightning round  


Really hope you guys enjoy this video :) I always have so 
much fun chatting with Arvind!",UgwaRnuS7RWXcvUMxDl4AaABAg,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,0,2,2020-08-30 23:07:49+00:00,rd1HKwJT6GM,0,Upenn MCIT Program Details and Real Student Experiences - Dr. Arvind Bhusnurmath,2020-08-30
451,that black cat looks so cute,UgzXkPnRre8skvNNzoV4AaABAg,http://www.youtube.com/channel/UClRl3gsBmUBatYK3Xlm-6jA,ravi tanwar,1,1,2020-08-28 19:17:22+00:00,mueI-I7Suxw,1,"3rd Year Statistics,  Data Science, Computer Science Resume | Reviewing Your Resumes Ep. 1",2020-08-28
452,"I spent so much time thinking about this!
For months I wasn't sure which route I wanted to take because I really liked both of them and couldn't decide.
A few weeks ago I woke up one morning and ""just knew"" that I wanted to become an ML engineer,
I don't know why but since then I've been really sure about that. In the past I worked both on SW as well as DS projects and 
I found that I really enjoy the engineering aspect of software as well as the data and machine learning aspect of DS, so
maybe that was the reasoning behind that. Nevertheless this video definitely reassured my decision! I guess I really like building stuff more than I like discovering it.
(damn I'm so glad I found this xD)",UgyaQToD0XkPIbk9Fjx4AaABAg,http://www.youtube.com/channel/UCXOdh3pTBBovDXzkUkTuvKA,Boris Giba,2,0,2020-08-26 19:44:01+00:00,JUkSeqe1eYQ,2,How To Choose Between Software Engineering And Data Science? | 5 Key Considerations,2020-08-26
453,"Hey Tina,
I'm basically just watching all of your videos in a row now so expect some more comments from me haha
I'm just really curious and I haven't found a lot of people with exactly this situation and I feel like I am in a similar situation as you were a few years ago.
So back then you weren't a US citizen (did you live in the US?) and you just applied to a lot of companies online and then later heard back from a few of them, right?
Did you only apply to one location specifically or to multiple ones? Did the company then just handle the visa etc. for you?
I'm from Europe and looking into internships opportunities for the next year. I just wondered if it is ""ok"" to send out applications to company locations outside one's current residence, because so far I kind of thought that was absurd or unrealistic (of course there are opportunities here too, just not that many).
I know I'm just throwing a bunch of questions at you and I really don't want to take a lot of your time but I just had to ask😅",UgzNf5i7AXLPtkG3L-B4AaABAg,http://www.youtube.com/channel/UCXOdh3pTBBovDXzkUkTuvKA,Boris Giba,2,0,2020-08-26 19:38:53+00:00,Rx1i1J4m4MQ,2,How I got Software Engineering and Data Science Internships | Computer Science Job Search Part 1,2020-08-26
454,"Haha the beginning with the background music was great! :D
I can see you put a lot of effort into it!
You basically just put out exactly the type of videos I hoped to find and I'm really happy that I *did* find!
As a first semester student myself this advice is just golden.",Ugx-2isHKpfoXQh1Zt94AaABAg,http://www.youtube.com/channel/UCXOdh3pTBBovDXzkUkTuvKA,Boris Giba,2,0,2020-08-26 12:23:36+00:00,kO_LUVkKdJM,2,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-26
